fecha,hora_del_dia,mes,produccion_w,consumo_w,balance_w,bateria_soc_pct,temp_exterior,consumo_agua_lh,nivel_agua_litres,nivel_agua_pct
2023-01-01 00:00:00,0,1,0,734.14,-734.14,48.82,13.8,4.31,235.69,78.56
2023-01-01 01:00:00,1,1,0,640.53,-640.53,47.78,13.1,1.96,233.73,77.91
2023-01-01 02:00:00,2,1,0,578.3,-578.3,46.85,14.4,1.36,232.37,77.46
2023-01-01 03:00:00,3,1,0,595.35,-595.35,45.89,13.3,2.43,229.94,76.65
2023-01-01 04:00:00,4,1,0,503.15,-503.15,45.08,14.3,3.23,226.7,75.57
2023-01-01 05:00:00,5,1,0,569.4,-569.4,44.16,13.7,2.28,224.42,74.81
2023-01-01 06:00:00,6,1,0,371.63,-371.63,43.56,18.0,4.67,219.75,73.25
2023-01-01 07:00:00,7,1,0,2015.97,-2015.97,40.31,18.2,34.69,185.05,61.68
2023-01-01 08:00:00,8,1,36.43,2359.26,-2322.82,36.56,19.1,21.31,163.74,54.58
2023-01-01 09:00:00,9,1,539.54,2013.27,-1473.73,34.19,19.9,20.31,143.43,47.81
2023-01-01 10:00:00,10,1,855.4,444.58,410.82,34.85,24.2,2.83,140.61,46.87
2023-01-01 11:00:00,11,1,1183.88,383.75,800.12,36.14,24.9,4.69,135.91,45.3
2023-01-01 12:00:00,12,1,1420.84,275.75,1145.1,37.99,21.3,1.14,134.77,44.92
2023-01-01 13:00:00,13,1,1900.99,289.9,1611.09,40.58,22.2,3.45,131.32,43.77
2023-01-01 14:00:00,14,1,1500.53,513.58,986.95,42.18,27.8,4.57,126.75,42.25
2023-01-01 15:00:00,15,1,1167.89,716.8,451.09,42.9,22.6,2.43,124.32,41.44
2023-01-01 16:00:00,16,1,938.05,428.88,509.18,43.72,24.1,3.99,120.33,40.11
2023-01-01 17:00:00,17,1,542.77,483.54,59.23,43.82,21.2,3.94,116.39,38.8
2023-01-01 18:00:00,18,1,47.9,354.35,-306.45,43.33,20.5,1.6,114.79,38.26
2023-01-01 19:00:00,19,1,0,1888.93,-1888.93,40.28,18.2,4.96,109.83,36.61
2023-01-01 20:00:00,20,1,0,2586.56,-2586.56,36.11,20.0,23.48,86.35,28.78
2023-01-01 21:00:00,21,1,0,1913.76,-1913.76,33.02,17.7,20.72,65.63,21.88
2023-01-01 22:00:00,22,1,0,2647.89,-2647.89,28.75,17.8,29.48,36.15,12.05
2023-01-01 23:00:00,23,1,0,281.65,-281.65,28.3,15.0,2.42,33.73,11.24
2023-01-02 00:00:00,0,1,0,598.5,-598.5,27.33,9.1,1.1,32.63,10.88
2023-01-02 01:00:00,1,1,0,503.29,-503.29,26.52,11.1,1.61,31.03,10.34
2023-01-02 02:00:00,2,1,0,567.15,-567.15,25.6,11.7,2.85,28.17,9.39
2023-01-02 03:00:00,3,1,0,643.44,-643.44,24.57,13.7,1.03,27.15,9.05
2023-01-02 04:00:00,4,1,0,516.59,-516.59,23.73,10.8,4.68,22.47,7.49
2023-01-02 05:00:00,5,1,0,756.11,-756.11,22.51,14.9,4.86,17.61,5.87
2023-01-02 06:00:00,6,1,0,310.02,-310.02,22.01,18.5,1.35,16.26,5.42
2023-01-02 07:00:00,7,1,2.28,2689.36,-2687.08,17.68,18.8,25.69,0.0,0.0
2023-01-02 08:00:00,8,1,293.72,1897.11,-1603.39,15.09,18.0,37.5,0.0,0.0
2023-01-02 09:00:00,9,1,89.02,1850.56,-1761.55,12.25,20.9,20.09,0.0,0.0
2023-01-02 10:00:00,10,1,953.75,672.45,281.31,12.71,20.0,4.83,0.0,0.0
2023-01-02 11:00:00,11,1,1046.08,406.13,639.95,13.74,22.5,3.01,0.0,0.0
2023-01-02 12:00:00,12,1,1508.26,549.01,959.25,15.28,26.9,3.94,0.0,0.0
2023-01-02 13:00:00,13,1,1820.02,509.62,1310.41,17.4,21.7,1.39,0.0,0.0
2023-01-02 14:00:00,14,1,1498.93,330.32,1168.61,19.28,26.7,4.5,0.0,0.0
